tariff.plan;payment.method;sex;age;activation.zone;activation.channel;vas1;vas2;q01.out.ch.peak;q01.out.dur.peak;q01.out.val.peak;q01.out.ch.offpeak;q01.out.dur.offpeak;q01.out.val.offpeak;q01.in.ch.tot;q01.in.dur.tot;q01.ch.sms;q01.ch.cc;q02.out.ch.peak;q02.out.dur.peak;q02.out.val.peak;q02.out.ch.offpeak;q02.out.dur.offpeak;q02.out.val.offpeak;q02.in.ch.tot;q02.in.dur.tot;q02.ch.sms;q02.ch.cc;q03.out.ch.peak;q03.out.dur.peak;q03.out.val.peak;q03.out.ch.offpeak;q03.out.dur.offpeak;q03.out.val.offpeak;q03.in.ch.tot;q03.in.dur.tot;q03.ch.sms;q03.ch.cc;q04.out.ch.peak;q04.out.dur.peak;q04.out.val.peak;q04.out.ch.offpeak;q04.out.dur.offpeak;q04.out.val.offpeak;q04.in.ch.tot;q04.in.dur.tot;q04.ch.sms;q04.ch.cc;q05.out.ch.peak;q05.out.dur.peak;q05.out.val.peak;q05.out.ch.offpeak;q05.out.dur.offpeak;q05.out.val.offpeak;q05.in.ch.tot;q05.in.dur.tot;q05.ch.sms;q05.ch.cc;q06.out.ch.peak;q06.out.dur.peak;q06.out.val.peak;q06.out.ch.offpeak;q06.out.dur.offpeak;q06.out.val.offpeak;q06.in.ch.tot;q06.in.dur.tot;q06.ch.sms;q06.ch.cc;q07.out.ch.peak;q07.out.dur.peak;q07.out.val.peak;q07.out.ch.offpeak;q07.out.dur.offpeak;q07.out.val.offpeak;q07.in.ch.tot;q07.in.dur.tot;q07.ch.sms;q07.ch.cc;q08.out.ch.peak;q08.out.dur.peak;q08.out.val.peak;q08.out.ch.offpeak;q08.out.dur.offpeak;q08.out.val.offpeak;q08.in.ch.tot;q08.in.dur.tot;q08.ch.sms;q08.ch.cc;q09.out.ch.peak;q09.out.dur.peak;q09.out.val.peak;q09.out.ch.offpeak;q09.out.dur.offpeak;q09.out.val.offpeak;q09.in.ch.tot;q09.in.dur.tot;q09.ch.sms;q09.ch.cc;y
8;Carta di Credito;M;16.85;1;9;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Carta di Credito;B;43.11;1;5;Y;N;11;616;41.337;3;58;0.4576;10;583;0;0;10;489;29.278;3;136;0.5015;8;284;0;1;28;2523;144.825;6;482;18.443;22;799;0;0;15;1769;100.942;3;47;0.4292;10;529;0;0;27;2979;136.949;0;0;0;21;801;0;0;50;4456;252.269;0;0;0;30;2660;1;0;42;3220;191.952;0;0;0;38;1853;0;0;57;5710;304.808;0;0;0;44;3014;1;0;19;2191;124.301;0;0;0;13;439;0;0;953
8;Carta di Credito;M;23.31;1;9;N;Y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;9987;596.368;0;0;0;7;71;0;2;73;7436;456.377;0;0;0;12;339;0;0;122;14929;890.847;0;0;0;38;2081;0;0;1170
8;Carta di Credito;B;38.59;2;5;N;N;47;3709;302.375;27;1617;6.481;79;4697;0;0;53;3275;277.828;19;1190;51.475;70;4257;0;0;69;3907;338.677;14;1001;37.309;80;5432;0;0;34;2414;200.334;3;109;0.5588;66;5691;0;0;34;1838;12.929;0;0;0;56;3751;0;0;38;2858;185.651;0;0;0;77;2886;0;0;31;1538;110.811;0;0;0;59;2372;0;0;24;866;69.148;0;0;0;39;1534;0;0;20;1359;90.282;0;0;0;36;4182;0;1;162
3;Domiciliazione Bancaria;M;29.44;2;5;N;N;57;3907;248.958;53;9516;296.544;133;5200;0;0;75;6883;412.329;31;2100;8.537;176;5665;0;0;81;8046;47.512;37;4267;146.632;123;4643;0;0;46;2974;192.205;27;1144;5.696;175;8288;0;0;69;2833;209.108;46;2550;112.324;153;4595;0;0;54;4443;271.951;15;315;23.499;103;5170;0;0;44;2521;163.278;21;1727;6.81;124;5460;0;2;32;1185;90.499;18;1019;44.591;24;506;0;0;30;1645;111.023;18;846;40.093;16;132;0;0;2438
8;Carta di Credito;M;14.98;3;9;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Carta di Credito;M;21.8;1;9;N;Y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;354;31199;1.425.881;0;0;0;167;13334;2;0;492;72605;2.660.228;0;0;0;110;8170;23;2;843;113564;2.866.744;0;0;0;216;27260;67;1;349;57369;1.609.894;0;0;0;208;23566;34;0;405;48252;1.653.674;0;0;0;201;22548;15;0;4370
8;Domiciliazione Bancaria;B;34.98;2;5;N;N;15;759;52.426;2;74;0.3946;54;3336;0;0;14;680;47.545;1;7;0.1209;31;760;0;0;35;2200;143.172;5;356;14.208;62;3797;0;0;46;2554;170.725;3;277;10.133;71;3905;0;0;19;1351;8.536;3;74;0.4979;42;3038;0;0;29;1604;106.953;7;218;12.767;69;3698;0;0;57;4641;290.662;0;0;0;114;10745;0;0;28;1017;81.006;0;0;0;10;1382;0;0;27;1892;124.807;0;0;0;50;5949;0;0;23
8;Domiciliazione Bancaria;M;18.65;2;5;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2716;171.169;0;0;0;38;2055;3;0;52;3403;228.057;0;0;0;31;2427;2;0;31
7;Bollettino Postale;B;35.6;1;5;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;223;10.675;0;0;0;0;0;0;0;314
8;Carta di Credito;M;22;2;9;Y;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1691;105.238;0;0;0;47;3893;2;0;15;810;57.001;0;0;0;50;3834;1;0;34;3740;226.735;0;0;0;54;4369;2;0;28;4558;411.053;0;0;0;25;1232;6;0;59;14021;747.375;0;0;0;31;2506;8;0;1180
8;Carta di Credito;M;23.67;4;5;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;5958;44.894;3;102;0.5691;95;3798;0;2;143;7309;51.906;0;0;0;69;2394;0;0;99;5544;386.299;0;0;0;73;4463;0;0;126;6408;457.405;0;0;0;77;3837;0;0;142;6964;503.447;0;0;0;63;5236;0;0;133;8671;581.629;0;0;0;44;2523;0;0;97;5068;359.893;0;0;0;29;1864;0;0;125
6;Carta di Credito;B;33.14;1;7;N;N;77;4116;215.435;0;0;0;163;9996;0;0;68;4028;206.092;0;0;0;217;10735;0;0;119;6044;327.279;0;0;0;222;6228;0;0;143;6803;376.822;0;0;0;202;7432;0;0;120;6554;344.611;0;0;0;167;8048;1;0;155;7096;401.246;0;0;0;135;8215;2;0;156;7060;39.998;0;0;0;107;8217;7;0;196;12434;622.945;0;0;0;55;5030;5;0;159;8939;466.965;0;0;0;122;10237;7;0;287
7;Domiciliazione Bancaria;M;43.6;2;7;Y;N;66;5598;326.829;4;164;0.6399;36;2834;0;0;54;4101;230.138;2;226;0.7809;32;2342;0;0;50;4102;236.418;4;169;0.8423;62;5856;0;0;76;5914;274.187;0;0;0;51;5898;0;0;94;7984;367.361;0;0;0;81;5892;0;0;56;5852;254.283;0;0;0;79;6223;0;0;44;4652;203.546;0;0;0;43;2897;0;0;24;1846;82.829;0;0;0;35;1899;0;0;66;6074;274.569;0;0;0;44;2829;0;0;466
7;Domiciliazione Bancaria;B;38.09;1;7;N;Y;13;621;43.641;28;2529;8.882;45;2762;0;0;18;507;43.253;22;1716;6.529;21;1000;0;0;13;788;5.005;23;1526;62.538;87;3386;0;0;40;3038;143.544;0;0;0;73;2658;0;0;45;3638;170.111;0;0;0;97;2023;0;0;65;7769;331.162;0;0;0;86;2785;2;0;50;3270;162.782;0;0;0;56;2300;2;0;59;3953;194.239;0;0;0;43;3387;0;1;26;1259;68.611;0;0;0;22;1605;4;0;2
8;Carta di Credito;F;21.54;3;9;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2594;156.657;0;0;0;15;565;0;0;23;1201;85.283;0;0;0;38;1128;0;0;11;835;54.145;0;0;0;23;938;0;0;34;2176;146.612;0;0;0;51;2358;0;0;0
8;Carta di Credito;M;31.67;1;9;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;220;15.401;0;0;0;8;150;0;0;6;344;23.824;0;0;0;21;1154;0;0;2;110;0.77;0;0;0;5;68;0;0;1;18;0.1957;0;0;0;10;635;0;0;4;254;17.141;0;0;0;13;575;0;0;0;0;0;0;0;0;5;298;0;0;0;0;0;0;0;0;16;2336;0;0;0
7;Carta di Credito;B;24.09;2;5;N;Y;0;0;0;0;0;0;0;0;0;0;112;14586;610.307;0;0;0;19;3520;0;1;495;68855;2.848.126;0;0;0;79;12348;0;0;433;66134;2.694.707;0;0;0;118;24973;0;0;444;59787;2.489.312;0;0;0;141;17836;0;1;519;72161;3.257.676;0;0;0;195;24997;0;0;567;80454;397.993;0;0;0;309;30396;0;0;310;42757;1.773.224;0;0;0;156;18161;0;0;442;67325;2.741.431;0;0;0;233;27441;0;0;2622
8;Carta di Credito;M;52.19;2;5;N;N;0;0;0;0;0;0;0;0;0;0;10;1715;98.194;0;0;0;16;382;0;0;66;3931;310.447;0;0;0;47;3652;0;0;52;5904;356.185;0;0;0;47;5973;0;0;106;6346;434.614;0;0;0;76;5290;0;2;48;3352;250.626;0;0;0;64;6708;0;1;159;23127;1.371.565;0;0;0;104;8098;0;3;100;15249;93.818;0;0;0;94;17004;0;2;58;5070;319.661;0;0;0;85;7586;0;1;0
8;Bollettino Postale;M;19.96;2;9;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;7691;44.878;0;0;0;31;718;0;0;181;18780;1.149.101;0;0;0;104;6161;1;0;163
7;Bollettino Postale;B;24.42;3;5;N;N;0;0;0;0;0;0;0;0;0;0;176;22886;958.534;0;0;0;192;22039;1;0;486;53328;2.312.198;0;0;0;491;45635;0;0;30;4268;176.029;0;0;0;345;34148;0;0;193;22068;948.297;0;0;0;334;31083;1;0;502;60810;2.580.921;0;0;0;560;50701;0;0;132;12097;546.401;0;0;0;383;15602;2;0;0;0;0;0;0;0;80;4430;0;0;66;8567;359.289;0;0;0;268;30891;0;0;1400
8;Carta di Credito;B;20.16;2;9;N;Y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;105;0.7447;0;0;0;19;722;0;1;52;2082;160.355;0;0;0;63;3172;0;0;9;438;31.731;0;0;0;10;672;0;0;33;1651;118.666;0;0;0;37;2073;0;0;213
7;Bollettino Postale;F;51.9;1;5;Y;N;312;94237;9.947.223;183;81769;10.414.369;41;18740;0;2;285;93821;609.069;119;49725;407.203;24;12298;0;0;462;136470;6.455.959;73;41776;4.065.673;46;25609;8;7;676;166681;997.474;0;0;0;30;28927;1;7;242;70422;8.372.185;0;0;0;21;23566;6;0;376;103899;8.800.085;0;0;0;27;15530;1;7;654;139305;7.715.913;0;0;0;38;16476;2;5;346;109843;7.304.198;0;0;0;49;23612;0;2;414;160914;12.612.115;0;0;0;34;16264;0;0;1069
7;Domiciliazione Bancaria;B;16.49;3;5;N;Y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Bollettino Postale;M;50.03;3;3;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Carta di Credito;B;21.9;3;9;Y;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;239;0;0;104;9122;417.426;0;0;0;48;3220;1;2;204;15843;74.705;0;0;0;112;8090;0;2;822
8;Carta di Credito;F;20.78;1;5;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;8414;493.046;1;96;0.2644;59;4870;0;0;115;15113;893.093;0;0;0;110;9031;0;0;76;10143;597.143;0;0;0;73;8336;0;0;108;13855;821.383;0;0;0;103;12036;6;1;709
8;Carta di Credito;F;20.78;3;5;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;170;10.778;0;0;0;7;198;0;2;35;8888;491.502;0;0;0;152;13604;0;0;4;817;45.996;0;0;0;17;953;0;0;0;0;0;0;0;0;2;16;0;0;0
8;Carta di Credito;M;24.42;3;5;N;N;0;0;0;0;0;0;0;0;0;0;6;237;18.339;0;0;0;10;197;0;0;9;285;23.896;0;0;0;10;190;0;0;3;191;12.886;0;0;0;8;122;0;0;0;0;0;0;0;0;13;161;0;0;10;433;32.511;0;0;0;10;274;0;0;14;988;65.068;0;0;0;19;168;0;0;7;411;28.292;0;0;0;1;6;0;0;2;61;0.5196;0;0;0;4;46;0;0;23
7;Carta di Credito;B;30.13;3;5;N;Y;435;39195;1.781.306;0;0;0;243;25388;30;1;541;53423;2.292.841;0;0;0;291;31321;41;2;718;78767;3.221.508;0;0;0;328;39096;28;0;701;68823;2.953.772;0;0;0;380;38302;26;0;583;62321;2.550.383;0;0;0;351;30510;24;0;703;79887;3.418.005;0;0;0;399;32855;14;0;805;82517;3.621.855;0;0;0;429;39670;6;1;350;38347;164.287;0;0;0;254;22817;5;0;685;72202;3.136.747;0;0;0;302;26068;4;0;2584
8;Domiciliazione Bancaria;M;35.31;1;5;Y;N;1;39;0.6389;7;379;13.593;15;391;4;3;2;61;10.438;4;194;0.7385;3;62;0;0;10;275;32.423;3;73;0.4323;7;250;3;5;8;435;30.543;0;0;0;3;57;1;0;5;237;17.312;0;0;0;6;112;0;3;5;154;13.051;0;0;0;3;186;3;2;11;825;50.618;0;0;0;3;376;5;1;12;618;27.222;0;0;0;4;210;3;0;7;239;13.965;0;0;0;6;1560;2;1;0
7;Domiciliazione Bancaria;F;24.59;2;5;Y;N;0;0;0;0;0;0;0;0;0;0;129;16051;678.702;0;0;0;84;12912;0;1;150;17068;732.909;0;0;0;95;6361;0;1;135;14254;622.821;0;0;0;79;9848;0;0;121;16941;700.682;0;0;0;98;15302;0;0;124;15923;669.215;0;0;0;73;10796;0;0;153;16297;710.836;0;0;0;151;24409;0;0;70;7258;316.888;0;0;0;132;21840;0;0;176;23051;964.096;0;0;0;211;35796;0;0;1551
3;Domiciliazione Bancaria;B;35.77;2;5;N;N;49;2392;166.965;13;387;23.261;59;1692;0;0;70;2233;179.908;14;753;33.601;45;993;0;0;145;4961;389.847;6;109;0.7458;67;2179;0;0;48;1739;134.191;6;224;11.899;65;1187;0;1;96;3262;257.857;8;858;30.068;74;1593;0;0;80;2578;207.027;4;106;0.6828;62;2150;4;0;120;5973;414.539;13;783;33.838;94;2772;0;2;53;4408;269.193;13;1784;57.719;35;1253;0;0;42;1323;107.769;0;0;0;30;1434;0;2;5114
8;Domiciliazione Bancaria;M;39.57;2;5;N;N;16;1586;93.701;7;614;22.827;24;320;0;0;24;1853;114.937;6;218;11.739;47;1320;0;0;34;2666;164.817;18;917;40.862;70;1494;0;0;27;2045;127.374;19;1491;57.507;43;803;0;0;56;5718;336.033;5;138;0.8671;33;1309;0;0;32;3597;210.926;10;394;18.846;28;507;0;0;10;530;36.111;9;506;22.161;61;1167;0;0;47;4979;302.272;5;138;0.8671;36;1028;0;4;42;4226;259.886;0;0;0;22;1443;0;0;281
8;Domiciliazione Bancaria;B;42.72;4;5;N;N;40;3202;205.359;0;0;0;50;5789;0;1;46;3963;250.549;0;0;0;37;6093;0;1;45;5361;320.121;0;0;0;75;10082;0;1;29;2511;157.571;0;0;0;19;3566;0;0;19;3337;190.583;0;0;0;33;2714;0;0;10;697;46.037;0;0;0;34;2968;0;0;20;2122;129.372;0;0;0;25;3522;0;0;8;533;35.568;0;0;0;2;42;0;0;31;3275;198.764;0;0;0;33;6829;0;0;80
7;Carta di Credito;M;43.11;3;5;Y;N;135;13138;107.423;123;13817;537.735;221;13454;16;1;156;13657;1.055.721;166;17084;602.829;340;19979;0;0;98;9637;743.083;97;11529;387.492;181;7733;3;0;59;7012;42.43;69;9239;304.049;175;5336;0;1;175;20014;854.545;0;0;0;72;4098;1;0;199;36690;144.517;0;0;0;126;6154;33;0;194;32363;1.295.857;0;0;0;97;4763;13;0;185;29946;1.205.147;0;0;0;91;7719;26;0;130;24413;95.7;0;0;0;66;6812;135;0;1100
7;Carta di Credito;B;15.63;3;8;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Carta di Credito;B;34.06;1;5;N;N;64;9938;566.243;25;1831;72.356;336;16470;35;0;54;5158;30.362;9;795;29.495;197;14109;1;0;66;11048;605.675;37;2804;108.451;272;24002;20;0;60;8624;479.468;23;2149;77.324;249;19663;11;0;74;12514;684.125;10;1393;45.727;225;14900;19;1;101;10851;659.216;0;0;0;312;16509;8;1;89;11476;67.989;0;0;0;244;16832;6;0;70;5045;33.076;0;0;0;116;7492;2;0;132;14743;887.511;0;0;0;171;22510;34;0;2318
7;Domiciliazione Bancaria;M;23.9;3;5;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;20485;799.444;0;0;0;15;2065;0;0;8346
8;Carta di Credito;M;23.93;2;5;N;N;0;0;0;0;0;0;0;0;0;0;2;27;0.345;0;0;0;0;0;0;0;15;461;41.683;0;0;0;42;2270;2;0;27;1788;120.639;0;0;0;37;1922;0;0;20;1948;120.464;0;0;0;49;2880;0;0;23;1532;102.243;0;0;0;48;3519;0;0;83;4132;296.389;0;0;0;35;2464;0;0;66;4363;432.734;0;0;0;11;739;0;0;37;2200;210.265;0;0;0;27;1580;0;0;0
